title,author,預購專案,群眾募資,音樂,攝影,出版,時尚,設計,表演,藝術,科技,教育,遊戲,飲食,空間,社會,插畫漫畫,電影動畫,地方創生,挺好店,新春賀喜,money,time_left,image,video,sponsor_num,target,duration,comment_num,QA_num,website,yt,fb,ig,set_num,set_price
靜心冥想蛋｜讓礦石調整能量磁場，賦予生活平靜正念 ✣ 全球募資破千萬，來自加拿大的新世代冥想小物,靜心冥想蛋 The Thinking Egg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254569,success,33,1,164,79000,14340,1,4.0,0,0,1,0,11,"[2090, 2190, 699, 699, 699, 899, 799, 799, 799, 999, 1990]"
最後1小時！《霹靂：入陣武林》月曆、拼圖典藏組正式發表,霹靂：入陣武林,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684540,success,19,0,436,10000,14340,0,13.0,0,0,1,0,4,"[1980, 750, 1350, 1880]"
【 美國SingingWood BT25主動式藍芽書架音響 】木質箱體，質感呈現8 in 1 CP值爆表，預購優惠價格錯過不再！,台灣根德股份有限公司,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41820,success,38,2,14,20000,14340,0,12.0,1,1,1,0,5,"[3190, 3190, 3190, 5980, 350]"
【江振誠x田原香】聯手推出「法式澄清滴雞精」，嘖嘖限量早鳥搶鮮開賣！,香港商田原香有限公司台灣分公司,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88320,success,21,2,30,50000,14340,0,,1,1,1,0,2,"[3000, 2880]"
BONZART ZIEGEL ｜玩心不泯・日本玩色相機, BONZART ZIEGEL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191190,success,36,3,39,100000,14340,2,3.0,0,0,1,0,7,"[3450, 3550, 3650, 7100, 750, 760, 1350]"
獨獻台灣【 Logitech Combo Touch｜iPad Pro 11 吋 專用鍵盤保護殼 】解放你的創意、提升商務效率！,Logitech Taiwan,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18190179,success,86,10,3763,500000,14340,136,15.0,0,0,1,0,27,"[5100, 4750, 5990, 6990, 7790, 7790, 2690, 3590, 3590, 4600, 4750, 9200, 9400, 13800, 4890, 6990, 7790, 4600, 9200, 13800, 4890, 4850, 4800, 4900, 4950, 5000, 5050]"
【PLUS ZERO全方位輕量機能衣】後疫情時代的全方位時尚機能外套！,ELISON,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105340,success,17,2,19,100000,14340,1,7.0,0,0,1,0,3,"[2980, 5660, 8420]"
( ´ᴥ` ) 《喵汪耍廢超萌曆》｜讓你365天，享受每個被喵汪治癒的日常 (ΦωΦ),紅睿國際,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319200,success,28,1,273,100000,14340,0,11.0,1,0,1,0,7,"[770, 1430, 2840, 7050, 60000, 600, 666]"
MARENA瑪芮娜美國專利全能立塑九分機能褲 全方位3D雕塑美型衣 | ONE for ALL 一件滿足 塑身+運動+穿搭 日常所有需求,著迷時尚,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1007739,success,27,4,230,200000,14340,0,7.0,0,0,0,0,9,"[6080, 2800, 5480, 3688, 6280, 7088, 16200, 21000, 2680]"
Lumio | 不可思議UV消毒自潔音波電動牙刷,Codent Healthcare,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,325730,success,30,3,133,100000,14340,2,3.0,1,1,1,0,4,"[1500, 2900, 1650, 3200]"
